
[2019-07-08 18:31:59.945] 062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.953] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044922
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.969] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.989] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:31:59.989] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:00.313] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:00.817] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:01.317] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:01.821] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:02.325] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:02.824] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:03.328] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:03.828] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:04.330] ORANGE REACTOR:,	0.062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:04.836] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:05.335] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:05.838] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:06.342] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:06.842] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:07.346] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:07.851] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:08.350] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:08.853] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:09.353] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:09.857] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:10.360] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:10.861] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:11.365] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:11.865] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:12.365] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:12.869] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:13.376] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:13.876] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:14.379] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:14.879] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:15.383] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:15.887] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:16.387] ORANGE REACTOR:,	0.062695	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:16.887] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044727
